comments,label
احساس می‌کنم غایت زندگی من اینه که یکی یروز بفهمه دارم راجع به چی حرف می‌زنم,SAD
ای بابا نصیب هرکسی نمیشه که، فقط دعای خیر پدر مادر :)))))))),HAPPY
با من مثل بقیه رفتار نکن آشغال,SAD
من علاقه شدیدی به شنیدن «بغلم کن» از طرف اونی که «می‌خوام بغلش کنم» دارم.,SAD
چیز کیک گرم و نرم میخوام.,NEUTRAL
ها موافقم. همشو موافقم.,HAPPY
خرداد. 🪷🪞 ما یه روزی بالاخره صاحبِ این خونه می‌شیم.,SAD
دلم می‌خواست می‌تونستم کاری برای بچه‌های دانشگاه هنر کنم... ولی آخه چه کاری از دستم برمیاد جز نشستن و غصه‌خوردن؟,SAD
حیف شد.,SAD
کاش میشد از آنهایی که دنیا را ترک کرده اند میپرسیدیم، آیا اندوهتان پایان گرفت؟,SAD
کوچک تر بودیم 🤏🏻,NEUTRAL
جات خیلی خالی بود🤍,SAD
خیلی ممنون لطف داری 🤠,HAPPY
حق کیوت 🥹,SAD
حتی تصور اینکه نباشی هم سخته .,SAD
هدیه‌ی مردم شریفمون برای عزیزدل ایران:,SAD
آب بسیاری از مناطق تهران قطع است.,NEUTRAL
واقعا عقل ندارید راحتم نیستید.,SAD
یه سوال رندوم بپرسید منم یه سوال رندوم میپرسم,NEUTRAL
مغزم بیداره، چشمام خوابه,NEUTRAL
این بچه‌های میم‌شیمی 98 همشون از دم کصشرن. تا الان آدم جالبی توشون ندیدم. اگه دیدید معرفی کنید,SAD
تبلیغات اینستا برای من داره به جاهای خطرناکی میرسه. زاکربرگ چیکار داری میکنی با دیتاهای من؟,NEUTRAL
در ستایش انعکاس، هلند.,HAPPY
الان اومد :)))),HAPPY
تو به زیبایی مهتاب، تو به آرامش خواب، چشم من تشنه‌ی پرسش، روی تو تنها جواب,SAD
دنبال خونه گشتن، خر است :),SAD
با اقتدار بردم :),HAPPY
آدمی به صحبت زنده‌ است,NEUTRAL
این قشنگ بود.,HAPPY
چه رفقایی اسماعیل ، چه رفقایی 😍😍,SAD
به اندازه کافی ازم متنفر نیستید,SAD
خدایا شکرت بابت زن‌ها😭😭😭😭😭😭😭😭😭😭😭,HAPPY
یادم نمیاد آخرین بار کی با یکی ساعت ها حرف زدم و از این جهت ناراحتم.,SAD
از هر گونه دراما خسته‌ام. دلم غار می‌خواد. یا یه جزیره‌ی کوچیک وسط اقیانوس.,SAD
جواب‌های زمزم خیلی خوبه😁😂 راضیم ازتون🤭😌,HAPPY
اقا این ورزش کردن و هورنی شدن ربطی به هم ندارن؟ چون اوضاع نگران کنندست😣,SAD
انقدر کله‌ام از دست آدما خرابه که باید کلی خودداری کنم یهو به کسی نرینم :)),SAD
بعضی وقتا حس میکنم خیلی همه چیز رو اورتینک میکنم و برام ترسناکه…,SAD
پول واقعا خوبه :٫),HAPPY
